"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","Battery_Cell","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"C1,C5,C6,C7","4","100nF","","","","easyeda2kicad:C0402","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_100nF-104-10-16V_C60474.html"
"C2,C3,C4,C9","4","10uF","","","","easyeda2kicad:C0603","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL10A106MP8NNN_10uF-106-20-10V_C85713.html"
"C8","1","1uF","","","","easyeda2kicad:C0603","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL10B105KA8NNNC_1uF-105-10-25V-X7R_C29936.html"
"J1","1","USB_C_Receptacle_USB2.0_14P","","","","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2,J3","2","Conn_01x12","","","","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical",""
"R1,R11","2","1kΩ","","","","easyeda2kicad:R0603","https://www.lcsc.com/datasheet/C2907002.pdf"
"R2,R8,R9,R10","4","10kΩ","","","","easyeda2kicad:R0402","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_10KR-1002-1_C60490.html"
"R3,R4","2","5.1kΩ","","","","easyeda2kicad:R0603","https://www.lcsc.com/datasheet/C2907044.pdf"
"R6","1","2.2kΩ","","","","easyeda2kicad:R0402","https://www.lcsc.com/datasheet/C2906865.pdf"
"SW1,SW2","2","SW_Push","","","","easyeda2kicad:KEY-SMD_B3U-1000PM",""
"U1","1","ESP32-C3","","","","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm","https://www.espressif.com/sites/default/files/documentation/esp32-c3_datasheet_en.pdf"
"U2","1","W25Q16JVUXIQ","","","","easyeda2kicad:USON-8_L3.0-W2.0-P0.50-BL-EP","https://www.lcsc.com/datasheet/C2843335.pdf"
"U3","1","H7233-1_C277859","","","","easyeda2kicad:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","https://lcsc.com/product-detail/Low-Dropout-Regulators-LDO_Shanghai-Siproin-Microelectronics-H7233-1_C277859.html"
"U4","1","TP4056","","","","easyeda2kicad:ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP","https://lcsc.com/product-detail/PMIC-Battery-Management_TP4056_C16581.html"
